Company Name,Industry,Acquisition Date,Churn Date,Subscription Tier
TechCorp_0,E-commerce,2024-03-16,,Pro
TechCorp_1,E-commerce,2023-11-02,2024-03-08,Pro
TechCorp_2,Tech,2023-09-28,,Pro
TechCorp_3,Healthcare,2023-12-15,,Pro
TechCorp_4,E-commerce,2024-01-29,,Starter
TechCorp_5,Healthcare,2023-03-22,,Enterprise
TechCorp_6,Tech,2024-05-12,,Starter
TechCorp_7,Fintech,2024-03-21,,Pro
TechCorp_8,Tech,2023-03-20,,Starter
TechCorp_9,Healthcare,2023-11-03,,Starter
TechCorp_10,Fintech,2024-03-25,,Pro
TechCorp_11,Tech,2023-01-30,,Pro
TechCorp_12,Fintech,2023-02-13,,Pro
TechCorp_13,Fintech,2023-03-07,,Enterprise
TechCorp_14,Fintech,2023-05-16,,Pro
TechCorp_15,Fintech,2024-04-20,,Pro
TechCorp_16,Healthcare,2024-01-01,,Enterprise
TechCorp_17,Fintech,2023-08-13,,Starter
TechCorp_18,Fintech,2023-04-26,2023-05-31,Pro
TechCorp_19,Tech,2023-10-29,,Starter
TechCorp_20,Tech,2023-04-28,2023-06-05,Pro
TechCorp_21,Fintech,2023-09-21,,Pro
TechCorp_22,E-commerce,2023-10-04,,Enterprise
TechCorp_23,Fintech,2023-05-05,,Pro
TechCorp_24,E-commerce,2023-02-18,2023-07-08,Starter
TechCorp_25,Tech,2023-08-28,,Starter
TechCorp_26,Tech,2023-02-01,,Starter
TechCorp_27,Fintech,2023-05-08,,Pro
TechCorp_28,Tech,2023-08-05,,Starter
TechCorp_29,Tech,2023-08-15,,Pro
TechCorp_30,Tech,2023-01-26,,Pro
TechCorp_31,E-commerce,2024-05-11,2024-08-09,Starter
TechCorp_32,Tech,2023-09-04,,Starter
TechCorp_33,Healthcare,2023-03-26,,Enterprise
TechCorp_34,E-commerce,2024-04-19,,Starter
TechCorp_35,E-commerce,2023-12-23,,Enterprise
TechCorp_36,Tech,2023-03-21,,Starter
TechCorp_37,Healthcare,2023-10-24,,Starter
TechCorp_38,Fintech,2023-01-30,2023-07-01,Pro
TechCorp_39,Fintech,2023-01-30,,Starter
TechCorp_40,Fintech,2023-02-05,,Pro
TechCorp_41,Fintech,2023-07-26,,Pro
TechCorp_42,E-commerce,2023-10-24,,Pro
TechCorp_43,Healthcare,2023-12-03,,Pro
TechCorp_44,Healthcare,2023-04-15,,Starter
TechCorp_45,E-commerce,2023-07-22,,Pro
TechCorp_46,Tech,2023-06-11,,Enterprise
TechCorp_47,Tech,2023-08-23,,Pro
TechCorp_48,Fintech,2023-02-07,,Pro
TechCorp_49,Fintech,2024-04-22,,Starter
TechCorp_50,Healthcare,2023-07-09,,Starter
TechCorp_51,Tech,2023-11-10,,Pro
TechCorp_52,Tech,2023-12-08,,Starter
TechCorp_53,Tech,2024-04-25,,Starter
TechCorp_54,Fintech,2024-01-16,,Starter
