Expense Date,Category,Amount
2023-01-01,Cloud Infrastructure,1106.9398109234417
2023-01-01,Marketing,1264.1608957612477
2023-01-02,Cloud Infrastructure,847.9937374822197
2023-01-02,Marketing,997.3853286133269
2023-01-03,Cloud Infrastructure,1013.0329391469695
2023-01-03,Marketing,730.1107160766596
2023-01-04,Cloud Infrastructure,941.6668685438499
2023-01-04,Marketing,897.0711742472973
2023-01-05,Cloud Infrastructure,831.145044750303
2023-01-05,Marketing,813.0606306773361
2023-01-06,Cloud Infrastructure,915.8060822343033
2023-01-06,Marketing,905.0323070649545
2023-01-07,Cloud Infrastructure,984.0387607575235
2023-01-07,Marketing,1189.6100410801898
2023-01-08,Cloud Infrastructure,960.1799265264349
2023-01-08,Marketing,578.6470874828599
2023-01-09,Cloud Infrastructure,830.5517509892085
2023-01-09,Marketing,1133.2246669681865
2023-01-10,Cloud Infrastructure,1183.2893395988601
2023-01-10,Marketing,1145.4429761695637
2023-01-11,Cloud Infrastructure,861.147915602372
2023-01-11,Marketing,1259.1523800455705
2023-01-12,Cloud Infrastructure,1025.49419331514
2023-01-12,Marketing,1079.4680897064898
2023-01-13,Cloud Infrastructure,929.2832966573443
2023-01-13,Marketing,1470.9730642081604
2023-01-14,Cloud Infrastructure,1118.5318716605711
2023-01-14,Marketing,1091.419756831021
2023-01-15,Cloud Infrastructure,830.692400469382
2023-01-15,Marketing,1364.2500339252392
2023-01-16,Cloud Infrastructure,1116.7271189061435
2023-01-16,Marketing,1395.8767655568026
2023-01-17,Cloud Infrastructure,860.3444306782554
2023-01-17,Marketing,561.8737001011007
2023-01-18,Cloud Infrastructure,899.0974894393137
2023-01-18,Marketing,937.758274309233
2023-01-19,Cloud Infrastructure,935.3468587365678
2023-01-19,Marketing,1097.8858623829894
2023-01-20,Cloud Infrastructure,1089.4934620009847
2023-01-20,Marketing,1156.564086410478
2023-01-21,Cloud Infrastructure,1079.3919851247524
2023-01-21,Marketing,891.9579843353604
2023-01-22,Cloud Infrastructure,1131.5835891577858
2023-01-22,Marketing,1238.7746721294827
2023-01-23,Cloud Infrastructure,885.6770644835601
2023-01-23,Marketing,1447.6682675343468
2023-01-24,Cloud Infrastructure,1153.4728661970246
2023-01-24,Marketing,537.7474923575612
